date,pv
2016/09/01,490
2016/09/02,450
2016/09/03,176
2016/09/04,158
2016/09/05,440
2016/09/06,546
2016/09/07,444
2016/09/08,471
2016/09/09,430
2016/09/10,151
2016/09/11,160
2016/09/12,512
2016/09/13,552
2016/09/14,437
2016/09/15,481
2016/09/16,433
2016/09/17,181
2016/09/18,182
2016/09/19,245
2016/09/20,457
2016/09/21,517
2016/09/22,259
2016/09/23,376
2016/09/24,217
2016/09/25,182
2016/09/26,436
2016/09/27,512
2016/09/28,501
2016/09/29,510
2016/09/30,413
2016/10/01,202
2016/10/02,190
2016/10/03,461
2016/10/04,559
2016/10/05,558
2016/10/06,549
2016/10/07,515
2016/10/08,186
2016/10/09,244
2016/10/10,222
2016/10/11,568
2016/10/12,535
2016/10/13,558
2016/10/14,491
2016/10/15,244
2016/10/16,200
2016/10/17,501
2016/10/18,661
2016/10/19,616
2016/10/20,648
2016/10/21,522
2016/10/22,174
2016/10/23,221
2016/10/24,526
2016/10/25,520
2016/10/26,543
2016/10/27,509
2016/10/28,481
2016/10/29,201
2016/10/30,236
2016/10/31,611
2016/11/01,572
2016/11/02,553
2016/11/03,243
2016/11/04,469
2016/11/05,718
2016/11/06,278
2016/11/07,588
2016/11/08,610
2016/11/09,604
2016/11/10,597
2016/11/11,495
2016/11/12,214
2016/11/13,241
2016/11/14,630
2016/11/15,640
2016/11/16,688
2016/11/17,686
2016/11/18,618
2016/11/19,301
2016/11/20,256
2016/11/21,609
2016/11/22,628
2016/11/23,339
2016/11/24,595
2016/11/25,588
2016/11/26,260
2016/11/27,317
2016/11/28,639
2016/11/29,749
2016/11/30,1372
2016/12/01,1281
2016/12/02,1254
2016/12/03,610
2016/12/04,237
2016/12/05,716
2016/12/06,1029
2016/12/07,645
2016/12/08,567
2016/12/09,692
2016/12/10,259
2016/12/11,227
2016/12/12,545
2016/12/13,722
2016/12/14,1011
2016/12/15,1059
2016/12/16,729
2016/12/17,215
2016/12/18,287
2016/12/19,628
2016/12/20,740
2016/12/21,523
2016/12/22,530
2016/12/23,282
2016/12/24,234
2016/12/25,236
2016/12/26,526
2016/12/27,475
2016/12/28,378
2016/12/29,239
2016/12/30,162
2016/12/31,166
2017/01/01,172
2017/01/02,181
2017/01/03,206
2017/01/04,409
2017/01/05,539
2017/01/06,548
2017/01/07,233
2017/01/08,240
2017/01/09,283
2017/01/10,656
2017/01/11,621
2017/01/12,569
2017/01/13,595
2017/01/14,237
2017/01/15,272
2017/01/16,598
2017/01/17,621
2017/01/18,621
2017/01/19,574
2017/01/20,580
2017/01/21,269
2017/01/22,248
2017/01/23,527
2017/01/24,689
2017/01/25,554
2017/01/26,618
2017/01/27,524
2017/01/28,240
2017/01/29,262
2017/01/30,585
2017/01/31,637
2017/02/01,571
2017/02/02,654
2017/02/03,585
2017/02/04,253
2017/02/05,242
2017/02/06,609
2017/02/07,601
2017/02/08,595
2017/02/09,592
