date,cpi
1970/1/1,31.9
1970/2/1,32
1970/3/1,32.3
1970/4/1,32.6
1970/5/1,32.5
1970/6/1,32.5
1970/7/1,32.5
1970/8/1,32.4
1970/9/1,32.9
1970/10/1,33.4
1970/11/1,33.4
1970/12/1,33.7
1971/1/1,34
1971/2/1,34
1971/3/1,34
1971/4/1,34.5
1971/5/1,34.6
1971/6/1,34.8
1971/7/1,34.7
1971/8/1,34.7
1971/9/1,35.5
1971/10/1,35.6
1971/11/1,35.3
1971/12/1,35.3
1972/1/1,35.4
1972/2/1,35.5
1972/3/1,35.8
1972/4/1,36.3
1972/5/1,36.3
1972/6/1,36.4
1972/7/1,36.4
1972/8/1,36.7
1972/9/1,36.9
1972/10/1,37.1
1972/11/1,37.1
1972/12/1,37.3
1973/1/1,37.7
1973/2/1,38
1973/3/1,38.9
1973/4/1,39.6
1973/5/1,40.3
1973/6/1,40.4
1973/7/1,40.7
1973/8/1,41
1973/9/1,42.2
1973/10/1,42.4
1973/11/1,42.7
1973/12/1,44.1
1974/1/1,46
1974/2/1,47.5
1974/3/1,47.7
1974/4/1,49
1974/5/1,49.2
1974/6/1,49.4
1974/7/1,50.4
1974/8/1,50.9
1974/9/1,51.6
1974/10/1,52.8
1974/11/1,53.2
1974/12/1,53.4
1975/1/1,54
1975/2/1,54.1
1975/3/1,54.6
1975/4/1,55.5
1975/5/1,55.8
1975/6/1,55.8
1975/7/1,56
1975/8/1,55.8
1975/9/1,57
1975/10/1,57.9
1975/11/1,57.7
1975/12/1,57.7
1976/1/1,58.7
1976/2/1,59.2
1976/3/1,59.3
1976/4/1,60.7
1976/5/1,61
1976/6/1,61.1
1976/7/1,61.5
1976/8/1,61.1
1976/9/1,62.6
1976/10/1,63
1976/11/1,63
1976/12/1,63.8
1977/1/1,64.3
1977/2/1,64.6
1977/3/1,65
1977/4/1,66.1
1977/5/1,66.7
1977/6/1,66.4
1977/7/1,66.2
1977/8/1,66.3
1977/9/1,67.4
1977/10/1,67.8
1977/11/1,67.1
1977/12/1,66.9
1978/1/1,67.2
1978/2/1,67.6
1978/3/1,68.2
1978/4/1,68.9
1978/5/1,69.3
1978/6/1,69
1978/7/1,69.2
1978/8/1,69.4
1978/9/1,70.1
1978/10/1,70.3
1978/11/1,69.6
1978/12/1,69.5
1979/1/1,69.6
1979/2/1,69.4
1979/3/1,70
1979/4/1,70.9
1979/5/1,71.5
1979/6/1,71.6
1979/7/1,72.2
1979/8/1,71.5
1979/9/1,72.4
1979/10/1,73.3
1979/11/1,73
1979/12/1,73.5
1980/1/1,74.2
1980/2/1,74.8
1980/3/1,75.2
1980/4/1,76.6
1980/5/1,77.2
1980/6/1,77.5
1980/7/1,77.6
1980/8/1,77.4
1980/9/1,78.7
1980/10/1,78.9
1980/11/1,79.1
1980/12/1,78.8
1981/1/1,79.6
1981/2/1,79.5
1981/3/1,79.8
1981/4/1,80.4
1981/5/1,81.1
1981/6/1,81.3
1981/7/1,81
1981/8/1,80.6
1981/9/1,81.9
1981/10/1,82.1
1981/11/1,82.1
1981/12/1,82.1
1982/1/1,82.1
1982/2/1,82.1
1982/3/1,82.1
1982/4/1,82.8
1982/5/1,83.1
1982/6/1,83.1
1982/7/1,82.6
1982/8/1,83.2
1982/9/1,84.4
1982/10/1,84.7
1982/11/1,83.9
1982/12/1,83.8
1983/1/1,83.9
1983/2/1,83.6
1983/3/1,84.1
1983/4/1,84.4
1983/5/1,85.3
1983/6/1,84.8
1983/7/1,84.4
1983/8/1,84.3
1983/9/1,85.2
1983/10/1,85.9
